year,crop,region,sort,area,production,kg/10a,areaLQ,productionLQ
1999,감자,대관령면,서류,560,15680,2800,1.652619349,1.143017847
1999,감자,대화면,서류,203,5682,2799,0.62029795,0.534001812
1999,감자,미탄면,서류,10,292,2920,0.071984797,0.071739206
1999,감자,방림면,서류,20,588,2940,0.091311188,0.078014897
1999,감자,봉평면,서류,430,14199,3302,1.623219994,1.451074369
1999,감자,용평면,서류,260,5460,2100,1.608448104,0.991071635
1999,감자,진부면,서류,750,28810,3841,1.834657754,1.77721582
1999,감자,평창읍,서류,42,882,2100,0.1010624,0.213968921
1999,겉보리,대관령면,맥류,0,0,0,,
1999,겉보리,대화면,맥류,0,0,0,,
1999,겉보리,미탄면,맥류,0,0,0,,
1999,겉보리,방림면,맥류,0,0,0,,
1999,겉보리,봉평면,맥류,0,0,0,,
1999,겉보리,용평면,맥류,0,0,0,,
1999,겉보리,진부면,맥류,0,0,0,,
1999,겉보리,평창읍,맥류,0,0,0,,
1999,고구마,대관령면,서류,0,0,0,0,0
1999,고구마,대화면,서류,0,0,0,0,0
1999,고구마,미탄면,서류,1,15,1500,5.458847118,5.73558473
1999,고구마,방림면,서류,1,15,1500,3.462215864,3.097449251
1999,고구마,봉평면,서류,0,0,0,0,0
1999,고구마,용평면,서류,0,0,0,0,0
1999,고구마,진부면,서류,0,0,0,0,0
1999,고구마,평창읍,서류,1,16,1600,1.824737777,6.041083298
1999,고추,대관령면,조미채류,0.2,4,2000,0.002397774,0.018168433
1999,고추,대화면,조미채류,107.2,268,250,1.330737721,1.569375355
1999,고추,미탄면,조미채류,101.1,202,200,2.956550591,3.092257227
1999,고추,방림면,조미채류,92.7,184,198,1.719361128,1.521137828
1999,고추,봉평면,조미채류,30.4,73,240,0.466203882,0.46484194
1999,고추,용평면,조미채류,20.2,36,178,0.507666433,0.407160311
1999,고추,진부면,조미채류,36.2,72,199,0.359745808,0.276745101
1999,고추,평창읍,조미채류,172,310,180,1.681365523,4.685914264
1999,기타과실류,대관령면,과실류,0,0,0,0,0
1999,기타과실류,대화면,과실류,0.8,4.9,614,0.275311484,0.302192299
1999,기타과실류,미탄면,과실류,3.1,6.9,610,2.513231594,1.11241955
1999,기타과실류,방림면,과실류,0.7,4.3,223,0.359933332,0.374381584
1999,기타과실류,봉평면,과실류,0,0,613,0,0
1999,기타과실류,용평면,과실류,0,0,0,0,0
1999,기타과실류,진부면,과실류,1,4,0,0.275501412,0.161920827
1999,기타과실류,평창읍,과실류,14.6,89,550,3.956609635,14.16830604
1999,기타두류,대관령면,두류,0,0,0,0,0
1999,기타두류,대화면,두류,0,0,0,0,0
1999,기타두류,미탄면,두류,5,5,100,4.094135338,4.187887263
1999,기타두류,방림면,두류,4,4,100,2.077329518,1.809303689
1999,기타두류,봉평면,두류,3,3,100,1.288194937,1.045212111
1999,기타두류,용평면,두류,0,0,0,0,0
1999,기타두류,진부면,두류,1,1,100,0.278256426,0.210304313
1999,기타두류,평창읍,두류,7,8,114,1.915974666,6.616424564
1999,기타잡곡,대관령면,잡곡,0,0,0,,
1999,기타잡곡,대화면,잡곡,0,0,0,,
1999,기타잡곡,미탄면,잡곡,0,0,0,,
1999,기타잡곡,방림면,잡곡,0,0,0,,
1999,기타잡곡,봉평면,잡곡,0,0,0,,
1999,기타잡곡,용평면,잡곡,0,0,0,,
1999,기타잡곡,진부면,잡곡,0,0,0,,
1999,기타잡곡,평창읍,잡곡,0,0,0,,
1999,녹두,대관령면,두류,0,0,0,0,0
